gene,c,coeff,pval,group,importance
EXO1,EXO1,0.08804599188074777,0.028239982830104714,er,0.001729237602455858
EXO1,HMGB1,-0.004964794771951075,0.9017321257578341,er,5.910133131787188e-4
EXO1,LIG1,0.04407855422661466,0.27274984215737264,er,7.856190477728882e-4
EXO1,MLH1,0.048866826894012366,0.2239742015344949,er,4.7973733512001647e-4
EXO1,MSH2,0.011631419115016499,0.7723676711900189,er,7.383307132813182e-4
EXO1,MSH6,0.057142099739201764,0.15494872443733657,er,3.2439703310526525e-4
EXO1,PCNA,-0.0018317672817892692,0.963664557639607,er,0.001016859958767499
EXO1,PMS1,-0.09405417689108184,0.01906311431625126,er,7.419982040798474e-4
EXO1,POLD2,-0.08977284261857318,0.025277251767133517,er,0.0015937212465836994
EXO1,POLD3,-0.01221464935576711,0.7612912670968175,er,5.13465129816189e-4
EXO1,POLD4,-0.06880891828531051,0.0866599847275986,er,5.30488585657076e-4
EXO1,RFC1,-0.04430235724556047,0.27031996183368784,er,3.434445101254471e-4
EXO1,RFC2,-0.007038485267191314,0.8610427548551185,er,3.917123436492815e-4
EXO1,RFC3,0.025299116086636098,0.5291649453068992,er,8.162769832787242e-4
EXO1,RFC4,-0.06740979402583569,0.09327520293269581,er,7.477252843517154e-4
EXO1,RFC5,-0.03789413084269025,0.34580728762933166,er,4.6355846252091435e-4
EXO1,RPA1,-0.05508906353746931,0.17034757982941298,er,4.129981538472074e-4
HMGB1,LIG1,-0.0369141227137955,0.35843311703976066,er,4.900884234558234e-4
HMGB1,MLH1,-0.02847105682292299,0.47881535543315557,er,6.956357377094235e-4
HMGB1,MSH5,0.057087789698346394,0.15534201887073118,er,6.135899491449162e-4
HMGB1,PCNA,-0.06480411022696486,0.10666792008973466,er,5.865703807845159e-4
HMGB1,PMS1,0.06370540843982736,0.1127521637803564,er,7.36752007699492e-4
HMGB1,POLD3,-0.034832085466805024,0.38620219451207416,er,8.255068039809666e-4
HMGB1,RPA1,-0.04226551748233389,0.2929834857343229,er,5.407402868220208e-4
HMGB1,RPA2,0.007173255789530434,0.8584098241381674,er,5.285968577745208e-4
LIG1,HMGB1,0.18162124836101756,5.243696218453492e-6,er,0.0015889537864580644
LIG1,MLH1,0.11170076213304596,0.0053250067294649895,er,0.0017357966074735534
LIG1,MSH2,0.1030343623552763,0.010191270824819566,er,6.108246843048514e-4
LIG1,MSH6,0.11663643884636998,0.0036067878103123916,er,9.933758320465561e-4
LIG1,PMS1,0.1304505369516498,0.0011212379729132339,er,9.694962905136038e-4
LIG1,RFC2,0.0846385798788732,0.03496892595552318,er,6.753056427199964e-4
LIG1,RFC3,0.10713806518571369,0.007535958639149527,er,0.0014031418801316521
LIG1,RFC5,0.09112136061754343,0.023154025517862543,er,7.354892887765219e-4
LIG1,RPA1,0.09819875072277212,0.01436161060300292,er,7.703305117586481e-4
LIG1,RPA2,0.14244510831274004,3.6981829132871696e-4,er,0.0013441071678628935
LIG1,RPA3,-0.07496482863727603,0.06190469312507242,er,8.154457602189939e-4
MLH1,EXO1,-0.08348924354819993,0.0375271885241299,er,3.318298396999517e-4
MLH1,HMGB1,-0.095496774645588825,0.017293145718307087,er,1.3038184828532295e-4
MLH1,LIG1,-0.024632020132526456,0.5400859422813407,er,1.8034004583949705e-4
MLH1,PCNA,-0.07331357045562836,0.06788923019210788,er,3.131635378865629e-4
MLH1,POLD2,-0.028468609218608432,0.478853174628853,er,1.6333459452337617e-4
MLH1,POLD3,-0.048019301450633024,0.2321209109877831,er,3.610841862322929e-4
MLH1,RFC1,-0.07841918575194744,0.05078789796970323,er,2.639306207432628e-4
MLH1,RFC3,-0.08745060956145145,0.02932845072214214,er,3.257878001498784e-4
MLH1,RFC5,-0.11759849884159461,0.003337363740280156,er,4.4936629023013076e-4
MLH1,RPA1,-0.07422841431613604,0.06451753557341784,er,1.8086681880593968e-4
MLH1,RPA2,-0.059723616559124656,0.1371116278446984,er,2.665498887198703e-4
MLH3,EXO1,-0.016669887327774247,0.6784323240315832,er,4.4236602153538526e-5
MLH3,HMGB1,-0.01950625761610771,0.6275626833903369,er,6.82574428578262e-5
MLH3,LIG1,0.008024422796830967,0.8418185236904924,er,2.3718256627061953e-5
MLH3,MSH5,-0.0016436831192808712,0.9673932558968781,er,2.724585392892309e-5
MLH3,PCNA,0.01241444645273392,0.7575078917882969,er,5.209936094066725e-5
MLH3,PMS1,-0.03861304551423011,0.3367272948789992,er,2.1234320052694545e-5
MLH3,POLD3,-0.03341952881335739,0.4057676344464485,er,4.147137032069703e-5
MLH3,RFC2,0.019997812469100776,0.6189150267476382,er,3.6585342121528755e-5
MLH3,RFC3,0.029623607249235143,0.4611887003489742,er,5.075040818451204e-5
MLH3,RFC4,-0.015673673393912547,0.696667478030264,er,3.8592111195627554e-5
MLH3,RFC5,-0.0243029740283761,0.5455138667088022,er,3.264838782566026e-5
MSH2,EXO1,0.012242125068572595,0.7607706445437856,er,3.7137400760415027e-4
MSH2,LIG1,-0.020778388205309344,0.6052906587900003,er,2.702374244768839e-4
MSH2,MSH2,0.023674875730024438,0.5559493214123452,er,4.460383586035732e-4
MSH2,MSH3,-0.07273737712746897,0.07008606766558836,er,1.6264874706062104e-4
MSH2,MSH6,0.030804132162886775,0.44351549946892854,er,4.3894596362975855e-4
MSH2,PCNA,-0.0981298530816738,0.014430554086456058,er,5.939740142529312e-4
MSH2,PMS1,-0.0322788794573812,0.4219896771885907,er,1.758095205124146e-4
MSH2,POLD2,-0.028689768582295844,0.4754425053854717,er,2.943290729892929e-4
MSH2,RFC1,-0.011505568918368247,0.7747639204428307,er,1.8379320402313226e-4
MSH2,RFC2,-0.0609433407775798,0.12925386852642248,er,2.520113606252126e-4
MSH2,RFC3,-0.014719230017471689,0.7143037829233656,er,2.9543844690295206e-4
MSH2,RFC4,-0.017755176750449696,0.6587786142664029,er,3.75200219376308e-4
MSH2,RPA2,-0.14175043905563117,3.9531448646712745e-4,er,8.852433411991251e-4
MSH3,HMGB1,0.05176776252207144,0.19763779386819474,er,6.917086878002987e-5
MSH3,LIG1,0.018460128567953635,0.6461362726079216,er,3.600087703449728e-5
MSH3,MLH1,-0.0021495813631632822,0.9573658556550465,er,2.5453802169546068e-5
MSH3,MSH2,-0.023299249079015642,0.5622362137587358,er,3.107113484082724e-5
MSH3,MSH3,0.0966295950291159,0.016005740923921485,er,3.668732662753449e-5
MSH3,POLD3,0.022559253911056266,0.5747208595393427,er,3.1890174236318456e-5
MSH3,RFC1,-0.01865561371320686,0.6426482962826106,er,2.6161364532931275e-5
MSH3,RFC2,-0.052878183541041485,0.18817959600860448,er,3.446675975053615e-5
MSH3,RFC3,0.029156727621720786,0.4682850398245859,er,2.3722482420239553e-5
MSH3,RFC4,-0.014799168421480102,0.7128206609967713,er,4.0687137885296434e-5
MSH3,RFC5,-0.0019064442770308802,0.962184329382997,er,4.891246012971728e-5
MSH3,RPA1,-0.07666805130834842,0.056195052271285836,er,8.436193420253235e-5
MSH3,RPA2,-7.2318181847926e-4,0.985650587276187,er,2.438251643478906e-5
MSH4,EXO1,0.02248946504690483,0.5759050037198676,er,1.0616210045423036e-4
MSH4,HMGB1,0.018606552705138064,0.6435229409234648,er,3.3102640092881554e-5
MSH4,LIG1,-0.007516987827150719,0.8517017136896871,er,4.502443807415135e-5
MSH4,MSH5,0.05069321103947337,0.20711639887457609,er,6.260228897229059e-5
MSH4,MSH6,0.06095443722769977,0.1291840190102199,er,6.866430885693386e-5
MSH4,PMS1,0.08878234924071367,0.026941973402544474,er,1.1503384863900745e-4
MSH4,POLD3,0.027929489429455813,0.4872229204209173,er,1.240072653468103e-4
MSH4,POLD4,-0.038174237461211166,0.3422511562115118,er,3.523477177542289e-5
MSH4,RFC1,0.04248009754068141,0.290537643590762,er,2.785828790674838e-5
MSH4,RFC2,-0.00645505144009557,0.8724583653990392,er,6.842407983138154e-5
MSH4,RFC3,0.08334546337309362,0.037858135376810216,er,9.844093052651748e-5
MSH4,RFC4,0.04683416359675738,0.24386137599624924,er,5.104849831975966e-5
MSH4,RFC5,0.005901960070789991,0.8833048472824556,er,6.379732500440571e-5
MSH4,RPA2,0.007058076953870493,0.8606599074084041,er,3.87967193183365e-5
MSH5,EXO1,0.03052592512947965,0.4476453212379904,er,2.8582268034170276e-4
MSH5,HMGB1,0.03524748229216466,0.38055967619629383,er,1.2793098393328405e-4
MSH5,LIG1,-0.0032522826403727193,0.9355346884526754,er,1.0332732350071661e-4
MSH5,MSH2,0.055560672606712616,0.16671283075122256,er,1.3478846842104652e-4
MSH5,MSH5,0.09999123523366756,0.01266692140682703,er,8.900513207061821e-5
MSH5,MSH6,0.055123825968761184,0.17007765563722368,er,1.2910213554799844e-4
MSH5,PCNA,0.0346680299061322,0.3884445967654565,er,1.6709860143537835e-4
MSH5,POLD3,0.0518590253767462,0.19684759865464688,er,9.71823676275887e-5
MSH5,RFC2,0.043999106489757016,0.27361599836921696,er,2.0495424733910794e-4
MSH5,RFC3,0.043955554761533226,0.2740916037001481,er,1.3277626115349196e-4
MSH5,RFC4,0.07826008164911272,0.05126051699300595,er,7.263369914151507e-5
MSH5,RFC5,0.03427267651239517,0.3938809137848658,er,1.1548756262525139e-4
MSH5,RPA1,-0.0013476481179569306,0.9732634485468882,er,6.80422774350391e-5
MSH5,RPA2,0.02749852699005701,0.4939698064251409,er,1.418535449457865e-4
MSH6,EXO1,-0.049535633486319175,0.21769091889031802,er,2.868756376627577e-4
MSH6,HMGB1,-0.02449139992784313,0.5424023027254704,er,1.0011391055390418e-4
MSH6,LIG1,0.0018125346246717598,0.9640458028743983,er,8.998551349468675e-5
MSH6,POLD3,-0.057961980338129486,0.14910272410904102,er,9.194416202476651e-5
MSH6,RFC3,-0.012030905853117656,0.7647756853036691,er,1.372937421238134e-4
MSH6,RFC4,-0.06100971072390058,0.12883652111885607,er,2.247877035163801e-4
MSH6,RFC5,-0.04063364223565009,0.3120343318347003,er,9.010299682437184e-5
MSH6,RPA4,0.08036662787232653,0.045292248069925135,er,1.9772552052468772e-4
PCNA,HMGB1,-0.04230620313709519,0.2925186834055454,er,1.7003959573505957e-4
PCNA,LIG1,0.027559101732800878,0.493018482657375,er,6.497889726348104e-5
PCNA,MSH2,0.012973196174313696,0.7469583441942875,er,3.8725807132114595e-5
PCNA,MSH6,0.02322031499786991,0.5635616823586445,er,6.6153421835915e-5
PCNA,PCNA,-0.07354761923773599,0.06701316433507672,er,1.2045902470915393e-4
PCNA,POLD3,0.007501149338822773,0.8520105788300694,er,4.903787511332314e-5
PCNA,RFC1,0.019007301668918845,0.6363930339100841,er,3.0751177023067955e-5
PCNA,RFC2,0.002288308850664022,0.9546172488936916,er,5.980821012126958e-5
PCNA,RFC3,-0.02763875767884215,0.4917689814306966,er,2.2290521184179069e-4
PCNA,RFC5,0.00994438477082019,0.8046608709258791,er,4.688254148704862e-5
PCNA,RPA1,-9.068779924492865e-4,0.9820062319069014,er,6.734830523818758e-5
PCNA,RPA2,0.0020129930727415097,0.9600725728173591,er,7.128916128970841e-5
PMS1,EXO1,0.0875874424405072,0.029075158729472125,er,3.879929196199949e-5
PMS1,LIG1,0.08157510096694376,0.04214018094825846,er,2.9609150028509168e-5
PMS1,MSH2,0.046388663453667434,0.24838049834194542,er,2.8296895519815957e-5
PMS1,PMS1,0.06983046607051789,0.08207289387958065,er,2.5890045144447928e-5
PMS1,POLD2,0.0658105293902362,0.1013252893169221,er,1.6922114601250593e-5
PMS1,POLD3,0.0413969518915163,0.30302416214597316,er,1.8547649587049576e-5
PMS1,RFC2,0.061976320766612136,0.12287599265254166,er,1.7288492551671864e-5
PMS1,RFC3,0.027652370576271477,0.4915556161946735,er,5.6071989059415015e-5
PMS1,RFC4,0.003936894129668126,0.9220040651684801,er,2.4055372700207965e-5
PMS1,RFC5,0.044507749407525374,0.2681030393236617,er,2.599758018583209e-5
PMS1,RPA2,-0.011116376591594427,0.7821877923691621,er,2.489692819900635e-5
PMS2,EXO1,-0.05300172419632942,0.18714827058287695,er,1.7700212887416188e-4
PMS2,HMGB1,0.03123614855924862,0.4371457066362875,er,1.2505190616283546e-4
PMS2,LIG1,0.007103813767951625,0.8597662769111047,er,8.037253322156523e-5
PMS2,MSH2,0.04660615942751416,0.24616698508345525,er,1.0369078491292072e-4
PMS2,PCNA,0.016362896959204246,0.6840322250175572,er,1.0195586667957591e-4
PMS2,PMS2,-0.054387924184679665,0.17586037921683545,er,1.0791518731551863e-4
PMS2,POLD3,0.04824450973286344,0.2299359382870232,er,5.7692344066474275e-5
PMS2,RFC2,-0.07883102946435412,0.04958140139978704,er,1.7144144836130247e-4
PMS2,RFC3,0.02234043121553309,0.578437578523099,er,1.0205911179316752e-4
PMS2,RFC4,-0.008995277077177963,0.8229798147865931,er,7.902391483786619e-5
PMS2,RPA2,-0.02829938966814064,0.48147181464530586,er,6.0892318527551394e-5
PMS2,RPA3,-0.05866871743031715,0.14419957652594811,er,1.4163739883378513e-4
POLD1,EXO1,-0.02496079063087216,0.5346896227458953,er,1.0696842265549588e-4
POLD1,HMGB1,-0.012917745711431054,0.7480032092522808,er,6.757082947886883e-5
POLD1,LIG1,-0.0640378510882402,0.11088308134770268,er,1.9563263219360416e-4
POLD1,MSH2,0.032965439789934436,0.41218058334639096,er,5.739874647874221e-5
POLD1,MSH6,-0.03794868869517141,0.34511280546174206,er,4.856063379992315e-5
POLD1,PCNA,-0.025527912270113987,0.5254453130080208,er,9.10251382964693e-5
POLD1,RFC2,0.04525635848652095,0.26012850098965207,er,5.5306093761776645e-5
POLD1,RFC3,-0.0021985902422566065,0.9563947836140918,er,9.114725258685818e-5
POLD1,RFC4,0.055102942110314065,0.1702397767641373,er,1.322643071775469e-4
POLD1,RPA1,0.015943233763413816,0.6917155009372407,er,4.6329189558664165e-5
POLD1,RPA2,0.03553211002229934,0.37672277681998223,er,7.465075397606236e-5
POLD2,EXO1,-0.022012105498919618,0.5840352616114384,er,1.4515895090277443e-4
POLD2,HMGB1,0.05491344183462769,0.17171614874445484,er,1.7550743224988664e-4
POLD2,LIG1,-0.048488384112717,0.2275863678741713,er,1.9071557586184995e-4
POLD2,MSH2,0.07544508276409276,0.0602482546239592,er,2.5364634955565423e-4
POLD2,MSH6,0.07396288518971088,0.06548164406720604,er,1.6144236697524582e-4
POLD2,PCNA,0.017286382160510087,0.6672402717813715,er,3.385349801853159e-4
POLD2,PMS2,-0.12294099993706738,0.0021466757551116154,er,1.76370925301105e-4
POLD2,POLD2,-0.08831073832846648,0.027767243360029302,er,3.972193279328422e-4
POLD2,POLD3,0.006455805457535216,0.8724435944644111,er,2.1300285805495766e-4
POLD2,RFC2,-0.05551703398759143,0.16704669726813925,er,2.9226945638175005e-4
POLD2,RFC3,0.0010136294068585658,0.9798885537645998,er,4.3512058882562465e-4
POLD2,RFC5,0.024681986481293924,0.539264064242448,er,2.253475734268695e-4
POLD2,RPA1,0.05414563705360632,0.17779592623800486,er,1.7767198804445283e-4
POLD2,RPA2,0.09418459590076798,0.018896846319254236,er,1.6864915102411305e-4
POLD2,RPA4,-0.07286664340949062,0.06958822033766109,er,1.3695819326682468e-4
POLD3,EXO1,0.08916448229412971,0.026288857636329575,er,1.4290061984966629e-5
POLD3,HMGB1,0.07602325483607364,0.058302890341022096,er,3.53519988423745e-6
POLD3,LIG1,0.031377900497613374,0.43506717391324534,er,8.81018883440321e-6
POLD3,MSH2,0.054954052691697605,0.17139895277132156,er,3.6134897227562136e-6
POLD3,PCNA,0.04378820869556449,0.2759243418378107,er,5.008654362573806e-6
POLD3,PMS1,0.020425734056861794,0.611429392816998,er,4.731726172662487e-6
POLD3,POLD3,-0.1000399474715542,0.01262344199102317,er,2.420820153333092e-5
POLD3,RFC1,0.022547252634316447,0.5749244096529467,er,8.033368827458976e-6
POLD3,RFC2,0.09738779209702587,0.015191766201524909,er,6.706725833295124e-6
POLD3,RFC3,0.021579028766004392,0.5914571008062139,er,9.333732627856195e-6
POLD3,RFC4,0.08913098820749543,0.026345552536861567,er,2.212665115587753e-5
POLD3,RFC5,0.07136058423967176,0.07557158129351305,er,7.269238742684702e-6
POLD3,RPA1,0.09164195463896412,0.022376685086941503,er,7.844886163439702e-6
POLD3,RPA2,0.08247221958473294,0.03992176941661817,er,1.1052250754996162e-5
POLD3,RPA3,0.020875985451485106,0.6035966401138939,er,5.112364438605743e-6
POLD4,EXO1,-0.003126035945431618,0.9380319679075689,er,2.610555801153769e-4
POLD4,LIG1,-0.03398487577499612,0.39786707181105097,er,3.121245838350739e-4
POLD4,MLH1,-0.01010481521832784,0.8015746156223476,er,1.4688116926433325e-4
POLD4,MSH2,0.020375323406786546,0.6123091457253333,er,2.033876023981558e-4
POLD4,MSH6,-0.02894483869377166,0.47152543697759586,er,2.7536236054019516e-4
POLD4,PCNA,-0.012406611065183759,0.7576561549088082,er,1.9078640426817262e-4
POLD4,PMS1,-0.014188596188093412,0.7241758653558099,er,1.0536422502146347e-4
POLD4,POLD2,-0.008794579139183127,0.8268662514649592,er,1.8074902667358471e-4
POLD4,POLD3,0.04071158639118465,0.31110627984768874,er,2.4195034684751571e-4
POLD4,POLD4,0.133610297971331,8.443841938892552e-4,er,1.7961880902627402e-4
POLD4,RFC2,-0.05963967910357178,0.13766560422559526,er,4.896203256730396e-4
POLD4,RFC3,0.0044659132920612755,0.911563757630673,er,1.4773852420023537e-4
POLD4,RFC4,0.016722644966293724,0.6774717271621873,er,3.904925190016948e-4
POLD4,RFC5,0.022536812868043862,0.5751015031043389,er,3.0248046772515336e-4
POLD4,RPA1,0.015670008899407253,0.6967348863779659,er,1.7284677429323092e-4
POLD4,RPA2,-0.054059449054905624,0.17848825335565677,er,1.6207786614067034e-4
RFC1,HMGB1,0.08120817348712961,0.04307705083700779,er,7.49381878407e-4
RFC1,MSH2,0.08778952482037129,0.028704519209127786,er,9.279944999263296e-4
RFC1,MSH5,-0.12242229814305013,0.0022423339583595124,er,0.0012772116082206385
RFC1,MSH6,0.07295197197016355,0.06926118158054397,er,6.139497303707679e-4
RFC1,PMS1,-0.026780420591293225,0.505321908170173,er,5.934434679880297e-4
RFC1,POLD2,-0.049144613774475154,0.22134892885088747,er,4.4764508164746975e-4
RFC1,POLD3,0.04376544215421051,0.27617431899260164,er,5.064479048061759e-4
RFC1,POLD4,-0.11389802862432635,0.004485135291489068,er,4.836072705338661e-4
RFC1,RFC1,-0.12605452025452413,0.0016467481473409792,er,0.002791924563563041
RFC1,RFC3,0.05510651788894807,0.17021200984615276,er,9.273537539197616e-4
RFC1,RFC5,0.09238003132985238,0.02131344235263315,er,8.805383909118585e-4
RFC2,EXO1,0.0012305642770866797,0.9755855657992731,er,4.2865039210377985e-6
RFC2,HMGB1,0.11382713330501715,0.004510246231026227,er,1.0307285979756164e-5
RFC2,LIG1,0.004393525977190019,0.9129914786709978,er,3.58753796531186e-6
RFC2,MLH1,-0.021726529353279452,0.5889244615240841,er,9.036658270014542e-6
RFC2,MSH2,0.06899102443569478,0.08582747197269107,er,5.904855064262859e-6
RFC2,MSH5,0.06941771935850695,0.08390204224872971,er,3.025869281038318e-6
RFC2,MSH6,0.07001413126830054,0.08126939277391414,er,6.256658948587069e-6
RFC2,PCNA,-0.039765005115396934,0.32249992132868355,er,6.232457967217719e-6
RFC2,PMS1,0.017050382159679113,0.6715161433299024,er,2.8193722433558223e-6
RFC2,POLD2,-0.0033707968070310164,0.933190940934937,er,4.189382900398053e-6
RFC2,POLD3,0.062435473983599825,0.12012100071675672,er,7.57189664618263e-6
RFC2,RFC2,-0.06028034299301279,0.1334806266186952,er,7.526924349686936e-6
RFC2,RFC3,0.09712394050493596,0.015470806169440701,er,1.5898753925162046e-5
RFC2,RFC4,0.08733413047790883,0.029545555674635272,er,7.202492805004956e-6
RFC2,RFC5,0.04002725203702127,0.31931649648940125,er,3.273940878538051e-6
