gene1,gene2,avgcore,cohesion,adhesion,gi
7465,672,17.5,1,1,SL
1025,675,19.5,8,8,SL
5728,1111,20.5,5,5,SL
999,672,19.5,3,3,SL
23476,672,24,1,1,SL
10013,675,19,4,4,SL
6598,675,19,4,4,SL
7150,8289,20,10,11,SL
5728,23476,24,2,2,SL
7150,55193,20,1,1,SL
142,672,21,6,6,SL
5591,2475,19.5,54,54,SL
1025,324,19,8,8,SL
2475,1111,19,5,5,SL
6598,6597,20.5,4,4,SL
5925,23476,24,2,2,SL
6598,1025,20.5,4,4,SL
861,672,20,17,17,SL
7428,4214,19,9,14,SL
7465,4089,17,1,1,SL
142,1111,20.5,5,5,SL
55193,10013,19.5,1,1,SL
5591,1111,20.5,5,5,SL
7428,5591,21,9,14,SL
6597,1111,20.5,5,5,SL
7465,2625,13,1,1,SL
861,1025,20,17,17,SL
1111,207,20.5,1,1,SL
7428,1019,20,9,14,SL
7428,1111,20.5,5,5,SL
7428,324,19,9,14,SL
7428,1027,20.5,9,14,SL
7428,196528,18.5,1,1,SL
1111,8289,19.5,1,1,SL
3065,1019,20,2,2,SL
5295,3717,18,5,5,SL
7428,5728,21,9,14,SL
1111,672,20.5,1,1,SL
7428,472,20.5,9,14,SL
4089,2475,19,49,49,SL
5604,23476,22,2,2,SL
675,673,19,11,11,SL
7428,673,20.5,9,11,SL
5604,1111,18.5,5,5,SL
7465,3320,17.5,1,1,SL
7428,3320,21,9,14,SL
4089,1025,20.5,41,41,SL
1111,1025,20.5,1,1,SL
7428,8289,20,9,14,SL
1111,472,20,1,1,SL
7428,5604,19,9,14,SL
7150,2475,19.5,10,11,SL
5591,1019,20,54,54,SL
5591,207,21,9,9,SL
11200,1019,19.5,6,6,SL
6597,3066,21,10,10,SL
6598,324,18.5,4,4,SL
5728,2475,19.5,19,19,SL
7150,672,21,10,11,SL
7428,6598,20.5,9,14,SL
3066,673,20.5,11,11,SL
5925,672,21,11,12,SL
7428,1021,17,9,14,SL
3066,672,21,47,47,SL
5604,3066,19,10,10,SL
7428,55193,20,1,1,SL
7428,6198,19,9,14,SL
5591,1025,21,41,41,SL
7428,3066,21,9,10,SL
1019,596,18.5,36,36,SL
7150,1019,20,10,11,SL
6714,2064,19.5,9,9,SL
150274,22,10,15,15,SL
9361,22,11,1,1,SL
440574,22,5,4,4,SL
123169,86,16,6,6,SL
51164,55860,8,2,3,SL
28958,10939,10.5,3,4,SL
440574,10939,10,4,4,SL
4702,10939,14,3,3,SL
4710,10939,9,12,12,SL
8881,25847,13.5,2,2,SL
8697,25847,13.5,1,1,SL
246184,25847,13,7,7,SL
996,25847,15,3,3,SL
221150,25847,9,15,17,SL
4976,139322,8,0,0,SL
3364,25820,15,6,6,SL
23065,537,12.5,1,1,SL
9694,537,13,4,5,SL
51234,537,10,0,0,SL
83460,537,7,6,7,SL
56851,537,11,0,0,SL
51138,6790,19,1,1,SL
6949,6790,16,11,11,SL
819,662,8.5,11,11,SL
60561,662,8,19,19,SL
9232,701,13.5,1,1,SL
221150,701,10.5,15,17,SL
11130,701,12,1,1,SL
9801,51250,14,1,1,SL
63931,51250,14.5,10,10,SL
8487,338657,8,2,2,SL
84991,338657,7.5,2,2,SL
10285,338657,5.5,2,2,SL
6634,338657,12,2,2,SL
221150,996,12,15,17,SL
4236,51362,11.5,2,2,SL
123169,79577,14,6,6,SL
10726,55143,10.5,1,1,SL
6949,55143,11,5,6,SL
203068,55143,15,2,2,SL
123169,983,17,6,6,SL
203068,983,20.5,2,2,SL
79019,64105,7,0,0,SL
3364,63967,12.5,1,1,SL
22803,9318,17,0,0,SL
3364,51138,15,6,6,SL
83892,51138,13.5,6,6,SL
123169,51138,15.5,6,6,SL
10726,51138,14.5,1,1,SL
22803,51138,16,0,0,SL
3364,10987,16,18,18,SL
83892,10987,14.5,17,17,SL
22803,10987,17,0,0,SL
50628,56259,11,1,1,SL
84991,56259,9.5,1,1,SL
6628,56259,13.5,1,1,SL
9694,80777,15,0,0,SL
123169,10238,15.5,6,6,SL
8667,8663,14,1,1,SL
1973,8667,15,1,1,SL
1981,8667,15.5,1,1,SL
1982,8667,9.5,1,1,SL
9554,9694,16,1,1,SL
55850,9694,12,2,2,SL
56851,51234,12,0,0,SL
23404,10436,8,9,9,SL
54512,10436,8,0,0,SL
10200,23404,13,3,3,SL
10200,54512,13,3,3,SL
10200,5393,13,1,1,SL
5518,2224,11.5,4,4,SL
50628,8487,12,3,4,SL
6634,50628,16,7,7,SL
55703,51184,13,2,2,SL
80349,51184,11.5,4,4,SL
123169,3364,12.5,6,6,SL
4173,3364,16,1,1,SL
10726,3364,11.5,1,1,SL
5888,3364,16,10,11,SL
6119,3364,13,12,12,SL
23168,3364,10.5,3,3,SL
123169,23028,17,1,1,SL
4149,123169,15,0,0,SL
10726,123169,12,0,0,SL
5230,123169,14.5,0,0,SL
6119,123169,13.5,0,0,SL
23168,123169,11,0,0,SL
6944,123169,13.5,0,0,SL
7514,123169,16.5,0,0,SL
6432,51747,12,5,5,SL
2475,4149,17.5,19,19,SL
84246,5469,27,6,6,SL
9282,5469,27,1,1,SL
9439,5469,27,1,1,SL
9862,5469,27,6,6,SL
55090,5469,27,0,0,SL
9862,9282,27,10,11,SL
55090,9282,27,0,0,SL
55090,9439,27,0,0,SL
8732,9439,20,2,3,SL
55090,9862,27,0,0,SL
23451,4236,16.5,4,4,SL
91603,4236,11.5,7,7,SL
4976,440574,7,4,4,SL
23517,10200,13,6,6,SL
9512,29093,10,1,1,SL
64969,9553,9,6,6,SL
6949,9221,14,11,11,SL
22803,9221,15,0,0,SL
79902,348995,8,1,1,SL
81929,348995,8,1,1,SL
6434,94104,12.5,2,2,SL
80349,81572,14,1,3,SL
9512,5188,6,2,4,SL
11130,11243,9.5,1,1,SL
91603,10450,12,7,7,SL
151648,5518,12,7,8,SL
5707,5694,29,8,8,SL
9349,11137,22,0,0,SL
6158,11137,14,22,22,SL
9554,60561,12.5,1,1,SL
6949,6119,13,11,11,SL
6158,84154,14.5,0,0,SL
6233,11224,24.5,11,11,SL
91746,10284,13.5,4,4,SL
11130,221150,7.5,0,0,SL
6634,6628,18.5,20,22,SL
6434,6432,19,10,10,SL
91746,6432,15,4,4,SL
54962,8914,4.5,2,2,SL
6944,8295,15.5,5,5,SL
4297,23476,23.5,2,2,SL
3066,648,20.5,3,3,SL
221656,648,14,3,3,SL
648,54556,18,8,8,SL
5927,54556,14,3,3,SL
8932,648,19.5,2,3,SL
23028,648,20.5,1,1,SL
2033,23476,24,2,2,SL
23028,23133,17,1,1,SL
3065,10419,20.5,2,2,SL
10419,23133,16.5,12,12,SL
2146,23476,24,2,2,SL
2145,10419,14.5,10,10,SL
84678,23476,21.5,2,2,SL
10419,23028,20.5,1,1,SL
2033,10419,20.5,4,4,SL
10419,23476,23.5,2,2,SL
1786,10419,20.5,10,10,SL
10419,84678,18,0,0,SL
648,23476,23.5,2,2,SL
4152,10419,14,8,8,SL
4152,2033,14.5,8,8,SL
23476,54556,21.5,1,1,SL
3066,23028,21,1,1,SL
10498,10419,19.5,1,1,SL
6604,54623,16.5,7,7,SL
9440,9282,27,4,4,SL
5931,5928,20.5,13,13,SL
4221,57634,18.5,1,1,SL
10524,80314,18.5,1,1,SL
23028,57634,19,1,1,SL
4171,84733,17.5,9,10,SL
29079,9282,27,2,2,SL
11091,86,20,1,1,SL
10001,9968,27,1,1,SL
54623,8932,17,1,1,SL
23168,8289,14,3,3,SL
6598,3054,19,4,4,SL
9112,4171,20.5,2,2,SL
5931,8289,19.5,33,33,SL
80012,54623,13,7,7,SL
3054,57634,17.5,1,1,SL
55257,8932,17.5,1,1,SL
29117,86,19,0,0,SL
8819,10524,17.5,1,1,SL
11091,65980,18.5,1,1,SL
8607,8289,19.5,1,1,SL
4171,57634,18.5,1,1,SL
55193,57634,18,1,1,SL
8819,80012,12.5,1,1,SL
55193,29117,19,1,1,SL
1911,54623,14,3,3,SL
8295,6604,17.5,0,0,SL
5931,3054,19,33,33,SL
6604,8607,19,18,18,SL
23168,57332,12.5,3,3,SL
11091,6598,20.5,1,1,SL
8932,23028,20,1,1,SL
11091,23168,15,1,1,SL
8295,10847,14.5,0,0,SL
10847,1911,12.5,2,5,SL
10847,6598,16,2,5,SL
4221,57332,18,6,6,SL
23067,84661,11,0,0,SL
208,207,15,9,9,SL
5591,472,20.5,49,52,SL
4170,598,16.5,8,8,SL
5591,3159,20,14,14,SL
10498,6046,19.5,1,1,SL
5591,328,21,2,2,SL
5287,3932,10,7,7,SL
3159,993,19.5,10,10,SL
5591,993,20.5,39,39,SL
142,328,21,2,2,SL
7150,1026,21,10,11,SL
675,328,19.5,2,2,SL
7297,933,6,2,2,SL
5970,993,20.5,7,7,SL
142,3978,14,6,6,SL
5580,993,19,39,39,SL
5293,3480,11.5,4,4,SL
5591,994,19.5,18,18,SL
5580,994,18,18,18,SL
7150,598,19,10,11,SL
5292,993,17,10,10,SL
1441,558,7,10,10,SL
5605,10498,18,5,5,SL
1017,598,19,8,8,SL
3718,933,5.5,114,115,SL
5753,3932,14,5,5,SL
1020,6046,20,5,5,SL
4215,332,14,17,17,SL
10919,993,19.5,0,0,SL
3159,1020,19.5,10,10,SL
5291,2064,14,16,17,SL
6046,598,18.5,5,5,SL
1026,993,20.5,39,39,SL
5292,5595,16,10,10,SL
5591,5292,17.5,8,8,SL
7083,5970,15,3,3,SL
5291,4921,6,16,17,SL
79718,10642,16.5,7,7,SL
79718,55832,16.5,5,6,SL
10427,10802,8.5,1,1,SL
83696,51693,6,6,6,SL
5862,81876,13,0,0,SL
5728,8726,20.5,16,17,SL
5862,5861,15,4,4,SL
9197,5861,12,1,1,SL
8570,10642,15,0,0,SL
3184,1487,19.5,5,6,SL
80006,7109,3.5,9,9,SL
5878,81876,14.5,0,0,SL
83696,80006,3.5,16,16,SL
10642,3184,20,4,5,SL
9197,10483,8,1,1,SL
5878,5861,16.5,4,4,SL
10642,648,19.5,3,3,SL
11311,9197,10,2,2,SL
22823,648,14.5,0,0,SL
1487,11177,14.5,22,22,SL
11196,5861,12,1,1,SL
11196,5862,11,1,1,SL
2033,8065,19.5,4,4,SL
83696,6399,6,13,13,SL
10498,55832,19,1,1,SL
51465,10483,11.5,0,0,SL
51693,80006,3.5,2,2,SL
3326,8726,20.5,8,8,SL
5728,10642,20,7,7,SL
22823,3184,15,0,0,SL
6399,7109,6,9,9,SL
10802,5878,12.5,3,4,SL
3326,10238,19.5,8,8,SL
2033,8451,21,4,4,SL
10427,5878,13,1,1,SL
51693,7109,6,2,2,SL
5728,55832,20,5,6,SL
8451,648,20.5,1,1,SL
5861,3482,16.5,17,17,SL
8570,1487,14.5,0,0,SL
8570,55832,15,0,0,SL
10427,3482,13,1,1,SL
51465,5861,15.5,0,0,SL
5861,3156,11,7,7,SL
10427,5862,11.5,1,1,SL
9611,10642,20,1,1,SL
10483,5861,12,0,0,SL
10642,10238,18.5,4,5,SL
5878,5862,15.5,2,2,SL
11196,5878,12.5,1,1,SL
10802,5861,12,3,4,SL
55832,648,19.5,0,0,SL
2146,11177,16,7,7,SL
81876,3156,9,7,7,SL
253260,8065,18,6,6,SL
22823,8451,15,0,0,SL
60684,7109,5.5,9,9,SL
11196,81876,10,0,0,SL
11196,3482,12.5,1,1,SL
8726,11177,15.5,1,3,SL
10483,3156,7,0,0,SL
5728,8570,16,19,19,SL
476,3265,18,7,7,SL
476,4893,18,13,13,SL
476,3845,18.5,17,17,SL
10723,3845,12.5,4,5,SL
8140,3845,15,6,8,SL
8140,3265,14.5,6,7,SL
8140,4893,14.5,6,8,SL
6520,3845,18.5,1,1,SL
6520,3265,18,1,1,SL
6520,4893,18,1,1,SL
10652,3845,16.5,1,1,SL
10652,4893,16,1,1,SL
682,3845,18.5,36,36,SL
682,4893,18,13,13,SL
6510,3845,16.5,9,9,SL
2033,8626,20,4,4,SL
57798,8626,16,1,1,SL
3608,8626,20,16,17,SL
688,8626,19,16,17,SL
3840,8626,15.5,16,17,SL
9869,8626,15,1,1,SL
23411,8626,20,12,17,SL
23435,8626,20,7,8,SL
672,367,21,1,1,SL
7132,367,19.5,1,1,SL
64127,472,16,49,52,SL
3551,672,20.5,16,16,SL
7428,672,21,9,14,SL
4609,1019,23,15,16,SL
7157,1019,24.5,1,1,SL
64127,1874,12,56,56,SL
7132,4170,17,5,5,SL
7428,4436,20.5,9,14,SL
6774,4609,24,16,16,SL
5371,4791,17,3,3,SL
7428,7132,19.5,9,14,SL
6721,2194,11.5,3,3,SL
9782,2194,17.5,0,0,SL
8239,2194,16.5,2,2,SL
57649,2194,13,1,1,SL
3185,2194,16,3,3,SL
3840,2194,13,3,3,SL
1020,2194,17,3,3,SL
57798,2194,13.5,1,1,SL
22823,2194,11.5,0,0,SL
8880,22948,15.5,6,6,NOT
855184,852663,7.5,9,9,NOT
25820,5927,15,2,2,NOT
54305,80311,5,1,1,NOT
856466,854023,12,1,1,NOT
8878,142,21,1,1,NOT
8826,10236,20,22,23,NOT
8775,5211,14.5,2,2,NOT
3725,8930,14.5,0,0,NOT
855154,853699,4,3,3,NOT
852963,856126,10.5,5,5,NOT
3315,57561,15,0,0,NOT
852976,851162,11.5,1,1,NOT
51247,64753,4.5,5,5,NOT
5036,3476,16,1,1,NOT
3184,84790,19.5,2,4,NOT
9451,11021,8.5,9,9,NOT
675,57561,13.5,4,4,NOT
4221,5977,19,3,5,NOT
1876,5905,13.5,1,1,NOT
2541835,2539310,1,0,0,NOT
10769,64837,5.5,2,2,NOT
855605,853498,8,4,4,NOT
855890,854372,12,3,3,NOT
10270,9636,15,11,11,NOT
851532,854421,6,1,1,NOT
853715,856031,2.5,5,5,NOT
4772,8358,11.5,0,0,NOT
851678,855158,18,1,1,NOT
125997,121504,13,12,13,NOT
51701,9401,14.5,0,0,NOT
2671,79876,3.5,3,6,NOT
828756,829746,1.5,1,1,NOT
3014,81847,17.5,0,0,NOT
5589,347902,11,1,1,NOT
3065,29086,15.5,1,1,NOT
851114,852853,8.5,29,30,NOT
4756,90522,7,0,0,NOT
819190,831729,2,0,0,NOT
25942,3181,21,14,14,NOT
832259,830801,4,1,1,NOT
31165,37795,2.5,21,22,NOT
6304,7536,17,0,0,NOT
7347,865,10.5,3,3,NOT
23523,10575,15,2,3,NOT
8350,3069,15.5,30,30,NOT
854345,852184,14,12,12,NOT
853419,854461,11.5,1,1,NOT
851678,856217,14.5,36,37,NOT
3692,389421,14,1,1,NOT
4961527,8019,15,0,0,NOT
55620,5777,12,1,1,NOT
856719,856024,12.5,1,1,NOT
55147,57461,8.5,2,2,NOT
580,10116,14.5,12,12,NOT
2130,59343,16.5,4,4,NOT
854818,856143,5.5,1,1,NOT
268749,19664,2.5,1,1,NOT
851115,850720,14,2,2,NOT
10926,7415,14,2,2,NOT
1028,23429,14.5,3,3,NOT
2901,575,3,5,5,NOT
266837,380259,1,5,5,NOT
51510,11773,3,7,7,NOT
179902,190051,1,1,1,NOT
5467,854457,6,0,0,NOT
852499,2542558,5,1,1,NOT
851304,246538,1.5,3,3,NOT
64462,2541522,1,1,1,NOT
15182,853603,6,9,9,NOT
20541,178821,1,1,1,NOT
7328,2539511,2.5,9,9,NOT
851396,829540,4.5,10,10,NOT
181227,112950,14,1,1,NOT
6606,852468,12,10,10,NOT
23283,80345,4,5,5,NOT
2114,3565805,5,17,17,NOT
33661,6195,9,3,5,NOT
830015,841645,1,1,1,NOT
827710,841786,2.5,3,3,NOT
8867,180771,5.5,4,4,NOT
8089,2538843,9.5,5,5,NOT
57441,27436,3.5,3,4,NOT
853371,25988,5.5,1,1,NOT
22908,146705,6.5,32,34,NOT
8905,171059,3,5,5,NOT
2542023,852023,1.5,1,1,NOT
854273,222696,6.5,2,2,NOT
6183,401145,3,15,16,NOT
1978,32557,3.5,4,4,NOT
3075,10138,9,1,1,NOT
35380,387849,1.5,3,3,NOT
855303,497661,1.5,2,2,NOT
83541,4191,8,0,0,NOT
854544,19821,8.5,2,2,NOT
843330,176840,1.5,2,2,NOT
179361,20964,1.5,0,0,NOT
